PduType;ClientThreadName;ServerThreadName;UserName;AuditTime;
Login ;Client-simon;null;simon;Sat Dec 21 18:23:48 CET 2019;null;
Chat  ;Client-simon;null;simon;Sat Dec 21 18:23:51 CET 2019;Moinsen;
Chat  ;Client-simon;null;simon;Sat Dec 21 18:23:52 CET 2019;heolopo;
Chat  ;Client-simon;null;simon;Sat Dec 21 18:23:53 CET 2019;jdvkb;
Chat  ;Client-simon;null;simon;Sat Dec 21 18:23:54 CET 2019;vrkfbkb;
Chat  ;Client-simon;null;simon;Sat Dec 21 18:23:55 CET 2019;vfkjbfkbf;
Chat  ;Client-simon;null;simon;Sat Dec 21 18:23:55 CET 2019;fjfbü;
Chat  ;Client-simon;null;simon;Sat Dec 21 18:23:56 CET 2019;bkfbmg;
Chat  ;Client-simon;null;simon;Sat Dec 21 18:23:57 CET 2019;zkb;
Login ;Client-simon2;null;simon2;Sat Dec 21 18:24:10 CET 2019;null;
Chat  ;Client-simon2;null;simon2;Sat Dec 21 18:24:13 CET 2019;huuh;
Chat  ;Client-simon2;null;simon2;Sat Dec 21 18:24:14 CET 2019;kror;
Chat  ;Client-simon2;null;simon2;Sat Dec 21 18:24:14 CET 2019;rmb;
Chat  ;Client-simon2;null;simon2;Sat Dec 21 18:24:15 CET 2019;rfjb;
Chat  ;Client-simon;null;simon;Sat Dec 21 18:24:18 CET 2019;lghog;
Logout;Client-simon;null;simon;Sat Dec 21 18:24:21 CET 2019;null;
Logout;Client-simon2;null;simon2;Sat Dec 21 18:24:24 CET 2019;null;
